TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
79,4,1,8,3010202,Unsaturated,Perception,0,0,-13.29664,123717731,123718904,1.17281,1,51.2,3.95508249488859,13.29664,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
80,4,1,9,3010202,Unsaturated,Perception,1,1,-16.6208,123727558,123728296,0.7379972,1,64,4.17438726989564,16.6208,-25.97,16.6208,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
81,4,1,10,3010202,Unsaturated,Perception,1,0,-13.29664,123736874,123737526,0.651975,1,51.2,3.95508249488859,13.29664,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
82,4,1,11,3010202,Unsaturated,Perception,0,1,-10.63731,123746138,123747316,1.178535,1,40.9599922988063,3.73671659999153,10.63731,-25.97,10.63731,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
86,5,1,1,3020202,Saturated,Perception,1,0,25.97,123830921,123832246,1.324852,1,100,4.61512051684126,25.97,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
87,5,1,2,3020202,Saturated,Perception,1,0,20.776,123840843,123841923,1.080311,1,80,4.39444915467244,20.776,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
88,5,1,3,3020202,Saturated,Perception,1,0,16.6208,123850525,123851803,1.27816,1,64,4.17438726989564,16.6208,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
89,5,1,4,3020202,Saturated,Perception,1,0,13.29664,123900467,123901429,0.9625102,1,51.2,3.95508249488859,13.29664,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
90,5,1,5,3020202,Saturated,Perception,1,0,10.63731,123910071,123911139,1.067912,1,40.9599922988063,3.73671659999153,10.63731,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
91,5,1,6,3020202,Saturated,Perception,0,1,8.509849,123919797,123920843,1.045833,1,32.7679976896419,3.51951354006163,8.509849,25.97,8.509849,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
92,5,1,7,3020202,Saturated,Perception,1,1,10.63731,123929422,123930251,0.8286884,1,40.9599922988063,3.73671659999153,10.63731,25.97,10.63731,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
93,5,1,8,3020202,Saturated,Perception,1,0,8.509849,123938846,123939924,1.078013,1,32.7679976896419,3.51951354006163,8.509849,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
94,5,1,9,3020202,Saturated,Perception,1,0,6.807879,123948529,123949651,1.122492,1,26.2143973815942,3.3037461487637,6.807879,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
95,5,1,10,3020202,Saturated,Perception,1,0,5.446303,123958242,123959204,0.9616311,1,20.971517135156,3.08974693886696,5.446303,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
96,5,1,11,3020202,Saturated,Perception,1,0,4.357042,124007796,124008922,1.12596,1,16.777212167886,2.87791742183507,4.357042,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
97,5,1,12,3020202,Saturated,Perception,1,0,3.485634,124017501,124018372,0.8709388,1,13.4217712745476,2.66873895888659,3.485634,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
98,5,1,13,3020202,Saturated,Perception,0,1,2.788507,124026966,124027591,0.6249959,1,10.7374162495187,2.46278170921765,2.788507,25.97,2.788507,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
99,5,1,14,3020202,Saturated,Perception,1,1,3.485634,124036186,124036984,0.7980142,1,13.4217712745476,2.66873895888659,3.485634,25.97,3.485634,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
100,5,1,15,3020202,Saturated,Perception,1,0,2.788507,124045572,124046634,1.062113,1,10.7374162495187,2.46278170921765,2.788507,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
101,5,1,16,3020202,Saturated,Perception,1,0,2.230806,124055234,124055808,0.5740023,1,8.58993453985368,2.26071406299652,2.230806,25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
102,5,1,17,3020202,Saturated,Perception,0,1,1.784645,124104400,124105409,1.008218,1,6.87194840200231,2.06330560510478,1.784645,25.97,1.784645,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
106,6,1,1,6010202,Shrink,Self,1,0,-0.15,124149237,124150473,1.236137,1,100,4.61512051684126,0.15,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
107,6,1,2,6010202,Shrink,Self,1,0,-0.105,124159117,124200265,1.148395,1,70,4.26267987704132,0.105,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
108,6,1,3,6010202,Shrink,Self,1,0,-0.0735,124208920,124210234,1.313524,1,49,3.91202300542815,0.0735,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
109,6,1,4,6010202,Shrink,Self,1,0,-0.05145,124218885,124220040,1.154966,1,34.3,3.56388296393925,0.05145,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
110,6,1,5,6010202,Shrink,Self,1,0,-0.036015,124228685,124229879,1.194001,1,24.01,3.21927574488953,0.036015,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
111,6,1,6,6010202,Shrink,Self,1,0,-0.0252105,124238530,124239777,1.246929,1,16.807,2.87959163841918,0.0252105,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
112,6,1,7,6010202,Shrink,Self,1,0,-0.01764735,124248404,124249439,1.03452,1,11.7649,2.54669921674188,0.01764735,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
113,6,1,8,6010202,Shrink,Self,0,1,-0.01235314,124258075,124259118,1.043001,1,8.23542666666667,2.22304681363071,0.01235314,-0.15,0.01235314,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
114,6,1,9,6010202,Shrink,Self,1,1,-0.01764734,124307771,124308809,1.037766,1,11.7648933333333,2.54669869447627,0.01764734,-0.15,0.01764734,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
115,6,1,10,6010202,Shrink,Self,1,0,-0.01235314,124317457,124318439,0.9817005,1,8.23542666666667,2.22304681363071,0.01235314,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
116,6,1,11,6010202,Shrink,Self,0,1,-0.008647198,124327026,124328302,1.27561,1,5.76479866666667,1.911732500155,0.008647198,-0.15,0.008647198,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
117,6,1,12,6010202,Shrink,Self,0,0,-0.01235314,124336985,124337867,0.8820739,1,8.23542666666667,2.22304681363071,0.01235314,-0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
118,6,1,13,6010202,Shrink,Self,1,1,-0.01764734,124346508,124347597,1.088442,1,11.7648933333333,2.54669869447627,0.01764734,-0.15,0.01764734,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
119,6,1,14,6010202,Shrink,Self,0,1,-0.01235314,124356250,124357801,1.551141,1,8.23542666666667,2.22304681363071,0.01235314,-0.15,0.01235314,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
123,7,1,1,6020202,Grow,Self,1,0,0.15,124441557,124442594,1.037251,1,100,4.61512051684126,0.15,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
124,7,1,2,6020202,Grow,Self,1,0,0.105,124451262,124452172,0.9095425,1,70,4.26267987704132,0.105,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
125,7,1,3,6020202,Grow,Self,1,0,0.0735,124500859,124501930,1.070785,1,49,3.91202300542815,0.0735,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
126,7,1,4,6020202,Grow,Self,1,0,0.05145,124510494,124511345,0.8508475,1,34.3,3.56388296393925,0.05145,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
127,7,1,5,6020202,Grow,Self,0,1,0.036015,124519974,124520850,0.8763513,1,24.01,3.21927574488953,0.036015,0.15,0.036015,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
128,7,1,6,6020202,Grow,Self,1,1,0.05145,124529496,124530827,1.330621,1,34.3,3.56388296393925,0.05145,0.15,0.05145,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
129,7,1,7,6020202,Grow,Self,1,0,0.036015,124539483,124540575,1.091974,1,24.01,3.21927574488953,0.036015,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
130,7,1,8,6020202,Grow,Self,0,1,0.0252105,124549161,124550492,1.331103,1,16.807,2.87959163841918,0.0252105,0.15,0.0252105,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
131,7,1,9,6020202,Grow,Self,1,1,0.036015,124559084,124600517,1.432896,1,24.01,3.21927574488953,0.036015,0.15,0.036015,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
132,7,1,10,6020202,Grow,Self,1,0,0.0252105,124609102,124611122,2.019852,1,16.807,2.87959163841918,0.0252105,0.15,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
133,7,1,11,6020202,Grow,Self,0,1,0.01764735,124619757,124621054,1.296643,1,11.7649,2.54669921674188,0.01764735,0.15,0.01764735,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
